location,location_name
793,IA - Clay County
794,IA - Clayton County
795,IA - Clinton County
796,IA - Crawford County
797,IA - Dallas County
798,IA - Davis County
799,IA - Decatur County
800,IA - Delaware County
801,IA - Des Moines County
802,IA - Dickinson County
803,IA - Dubuque County
804,IA - Emmet County
805,IA - Fayette County
806,IA - Floyd County
807,IA - Franklin County
808,IA - Fremont County
809,IA - Greene County
810,IA - Grundy County
811,IA - Guthrie County
812,IA - Hamilton County
813,IA - Hancock County
814,IA - Hardin County
815,IA - Harrison County
816,IA - Henry County
817,IA - Howard County
818,IA - Humboldt County
819,IA - Ida County
820,IA - Iowa County
821,IA - Jackson County
822,IA - Jasper County
823,IA - Jefferson County
824,IA - Johnson County
825,IA - Jones County
826,IA - Keokuk County
827,IA - Kossuth County
828,IA - Lee County
829,IA - Linn County
830,IA - Louisa County
831,IA - Lucas County
832,IA - Lyon County
833,IA - Madison County
834,IA - Mahaska County
835,IA - Marion County
836,IA - Marshall County
837,IA - Mills County
838,IA - Mitchell County
839,IA - Monona County
840,IA - Monroe County
841,IA - Montgomery County
842,IA - Muscatine County
843,IA - O'Brien County
844,IA - Osceola County
845,IA - Page County
846,IA - Palo Alto County
847,IA - Plymouth County
848,IA - Pocahontas County
849,IA - Polk County
850,IA - Pottawattamie County
851,IA - Poweshiek County
852,IA - Ringgold County
853,IA - Sac County
854,IA - Scott County
855,IA - Shelby County
856,IA - Sioux County
857,IA - Story County
858,IA - Tama County
859,IA - Taylor County
860,IA - Union County
861,IA - Van Buren County
862,IA - Wapello County
863,IA - Warren County
864,IA - Washington County
865,IA - Wayne County
866,IA - Webster County
867,IA - Winnebago County
868,IA - Winneshiek County
869,IA - Woodbury County
870,IA - Worth County
871,IA - Wright County
872,KS - Allen County
873,KS - Anderson County
874,KS - Atchison County
875,KS - Barber County
876,KS - Barton County
877,KS - Bourbon County
878,KS - Brown County
879,KS - Butler County
880,KS - Chase County
881,KS - Chautauqua County
882,KS - Cherokee County
883,KS - Cheyenne County
884,KS - Clark County
885,KS - Clay County
886,KS - Cloud County
887,KS - Coffey County
888,KS - Comanche County
889,KS - Cowley County
890,KS - Crawford County
891,KS - Decatur County
892,KS - Dickinson County
893,KS - Doniphan County
894,KS - Douglas County
895,KS - Edwards County
896,KS - Elk County
897,KS - Ellis County
898,KS - Ellsworth County
899,KS - Finney County
900,KS - Ford County
901,KS - Franklin County
902,KS - Geary County
903,KS - Gove County
904,KS - Graham County
905,KS - Grant County
906,KS - Gray County
907,KS - Greeley County
908,KS - Greenwood County
909,KS - Hamilton County
910,KS - Harper County
911,KS - Harvey County
912,KS - Haskell County
913,KS - Hodgeman County
914,KS - Jackson County
915,KS - Jefferson County
916,KS - Jewell County
917,KS - Johnson County
918,KS - Kearny County
919,KS - Kingman County
920,KS - Kiowa County
921,KS - Labette County
922,KS - Lane County
923,KS - Leavenworth County
924,KS - Lincoln County
925,KS - Linn County
926,KS - Logan County
927,KS - Lyon County
928,KS - McPherson County
929,KS - Marion County
930,KS - Marshall County
931,KS - Meade County
932,KS - Miami County
933,KS - Mitchell County
934,KS - Montgomery County
935,KS - Morris County
936,KS - Morton County
937,KS - Nemaha County
938,KS - Neosho County
939,KS - Ness County
940,KS - Norton County
941,KS - Osage County
942,KS - Osborne County
943,KS - Ottawa County
944,KS - Pawnee County
945,KS - Phillips County
946,KS - Pottawatomie County
947,KS - Pratt County
948,KS - Rawlins County
949,KS - Reno County
950,KS - Republic County
951,KS - Rice County
952,KS - Riley County
953,KS - Rooks County
954,KS - Rush County
955,KS - Russell County
956,KS - Saline County
957,KS - Scott County
958,KS - Sedgwick County
959,KS - Seward County
960,KS - Shawnee County
961,KS - Sheridan County
962,KS - Sherman County
963,KS - Smith County
964,KS - Stafford County
965,KS - Stanton County
966,KS - Stevens County
967,KS - Sumner County
968,KS - Thomas County
969,KS - Trego County
970,KS - Wabaunsee County
971,KS - Wallace County
972,KS - Washington County
973,KS - Wichita County
974,KS - Wilson County
975,KS - Woodson County
976,KS - Wyandotte County
977,KY - Adair County
978,KY - Allen County
979,KY - Anderson County
980,KY - Ballard County
981,KY - Barren County
982,KY - Bath County
983,KY - Bell County
984,KY - Boone County
985,KY - Bourbon County
986,KY - Boyd County
987,KY - Boyle County
988,KY - Bracken County
989,KY - Breathitt County
990,KY - Breckinridge County
991,KY - Bullitt County
992,KY - Butler County
993,KY - Caldwell County
994,KY - Calloway County
995,KY - Campbell County
996,KY - Carlisle County
997,KY - Carroll County
998,KY - Carter County
999,KY - Casey County
1000,KY - Christian County
1001,KY - Clark County
1002,KY - Clay County
1003,KY - Clinton County
1004,KY - Crittenden County
1005,KY - Cumberland County
1006,KY - Daviess County
1007,KY - Edmonson County
1008,KY - Elliott County
1009,KY - Estill County
1010,KY - Fayette County
1011,KY - Fleming County
1012,KY - Floyd County
1013,KY - Franklin County
1014,KY - Fulton County
1015,KY - Gallatin County
1016,KY - Garrard County
1017,KY - Grant County
1018,KY - Graves County
1019,KY - Grayson County
1020,KY - Green County
1021,KY - Greenup County
1022,KY - Hancock County
1023,KY - Hardin County
1024,KY - Harlan County
1025,KY - Harrison County
1026,KY - Hart County
1027,KY - Henderson County
1028,KY - Henry County
1029,KY - Hickman County
1030,KY - Hopkins County
1031,KY - Jackson County
1032,KY - Jefferson County
1033,KY - Jessamine County
1034,KY - Johnson County
1035,KY - Kenton County
1036,KY - Knott County
1037,KY - Knox County
1038,KY - Larue County
1039,KY - Laurel County
1040,KY - Lawrence County
1041,KY - Lee County
1042,KY - Leslie County
1043,KY - Letcher County
1044,KY - Lewis County
1045,KY - Lincoln County
1046,KY - Livingston County
1047,KY - Logan County
1048,KY - Lyon County
1049,KY - McCracken County
1050,KY - McCreary County
1051,KY - McLean County
1052,KY - Madison County
1053,KY - Magoffin County
1054,KY - Marion County
