toc,pri_payer,payer,include,geo,reference_dataset
IP,priv,priv,1,national,NIS
IP,priv,priv,1,state,MSCAN
NF,priv,na,1,national,MSCAN
NF,priv,na,1,state,MSCAN
NF,priv,oop,1,national,MSCAN
NF,priv,oop,1,state,MSCAN
NF,priv,priv,1,national,MSCAN
NF,priv,priv,1,state,MSCAN
RX,priv,na,1,national,MSCAN
RX,priv,na,1,state,MSCAN
RX,priv,oop,1,national,MSCAN
RX,priv,oop,1,state,MSCAN
RX,priv,priv,1,national,MSCAN
RX,priv,priv,1,state,MSCAN
AM,mdcr_mdcd,oop,1,county,MDCR
AM,mdcr_mdcd,oop,1,national,MDCR
AM,mdcr_mdcd,oop,1,state,MDCR
DV,mdcr_mdcd,oop,1,county,MDCR
DV,mdcr_mdcd,oop,1,national,MDCR
DV,mdcr_mdcd,oop,1,state,MDCR
ED,mdcr_mdcd,oop,1,county,MDCR
ED,mdcr_mdcd,oop,1,national,MDCR
ED,mdcr_mdcd,oop,1,state,MDCR
HH,mdcr_mdcd,oop,1,county,MDCR
HH,mdcr_mdcd,oop,1,national,MDCR
HH,mdcr_mdcd,oop,1,state,MDCR
IP,mdcr_mdcd,oop,1,county,MDCR
IP,mdcr_mdcd,oop,1,national,MDCR
IP,mdcr_mdcd,oop,1,state,MDCR
NF,mdcr_mdcd,oop,1,county,MDCR
NF,mdcr_mdcd,oop,1,national,MDCR
NF,mdcr_mdcd,oop,1,state,MDCR
RX,mdcr_mdcd,oop,1,county,MDCR
RX,mdcr_mdcd,oop,1,national,MDCR
RX,mdcr_mdcd,oop,1,state,MDCR
AM,mdcr_priv,oop,1,national,MSCAN
AM,mdcr_priv,oop,1,state,MSCAN
DV,mdcr_priv,oop,1,national,MSCAN
DV,mdcr_priv,oop,1,state,MSCAN
ED,mdcr_priv,oop,1,national,MSCAN
ED,mdcr_priv,oop,1,state,MSCAN
HH,mdcr_priv,oop,1,national,MSCAN
HH,mdcr_priv,oop,1,state,MSCAN
IP,mdcr_priv,oop,1,national,MSCAN
IP,mdcr_priv,oop,1,state,MSCAN
NF,mdcr_priv,oop,1,national,MSCAN
NF,mdcr_priv,oop,1,state,MSCAN
RX,mdcr_priv,oop,1,national,MSCAN
RX,mdcr_priv,oop,1,state,MSCAN
AM,mdcr_mc_mdcd,mdcd,1,county,MDCD
AM,mdcr_mc_mdcd,mdcd,1,national,MDCD
AM,mdcr_mc_mdcd,mdcd,1,state,MDCD
DV,mdcr_mc_mdcd,mdcd,1,county,MDCD
DV,mdcr_mc_mdcd,mdcd,1,national,MDCD
DV,mdcr_mc_mdcd,mdcd,1,state,MDCD
ED,mdcr_mc_mdcd,mdcd,1,county,MDCD
ED,mdcr_mc_mdcd,mdcd,1,national,MDCD
ED,mdcr_mc_mdcd,mdcd,1,state,MDCD
HH,mdcr_mc_mdcd,mdcd,1,county,MDCD
HH,mdcr_mc_mdcd,mdcd,1,national,MDCD
HH,mdcr_mc_mdcd,mdcd,1,state,MDCD
IP,mdcr_mc_mdcd,mdcd,1,county,MDCD
IP,mdcr_mc_mdcd,mdcd,1,national,MDCD
IP,mdcr_mc_mdcd,mdcd,1,state,MDCD
NF,mdcr_mc_mdcd,mdcd,1,county,MDCD
NF,mdcr_mc_mdcd,mdcd,1,national,MDCD
NF,mdcr_mc_mdcd,mdcd,1,state,MDCD
RX,mdcr_mc_mdcd,mdcd,1,county,MDCD
RX,mdcr_mc_mdcd,mdcd,1,national,MDCD
RX,mdcr_mc_mdcd,mdcd,1,state,MDCD
AM,mdcr_mc_mdcd,na,1,county,MDCR
AM,mdcr_mc_mdcd,na,1,national,MDCR
AM,mdcr_mc_mdcd,na,1,state,MDCR
DV,mdcr_mc_mdcd,na,1,county,MDCR
DV,mdcr_mc_mdcd,na,1,national,MDCR
DV,mdcr_mc_mdcd,na,1,state,MDCR
ED,mdcr_mc_mdcd,na,1,county,MDCR
ED,mdcr_mc_mdcd,na,1,national,MDCR
ED,mdcr_mc_mdcd,na,1,state,MDCR
HH,mdcr_mc_mdcd,na,1,county,MDCR
HH,mdcr_mc_mdcd,na,1,national,MDCR
HH,mdcr_mc_mdcd,na,1,state,MDCR
IP,mdcr_mc_mdcd,na,1,county,MDCR
IP,mdcr_mc_mdcd,na,1,national,MDCR
IP,mdcr_mc_mdcd,na,1,state,MDCR
NF,mdcr_mc_mdcd,na,1,county,MDCR
NF,mdcr_mc_mdcd,na,1,national,MDCR
NF,mdcr_mc_mdcd,na,1,state,MDCR
RX,mdcr_mc_mdcd,na,1,county,MDCR
RX,mdcr_mc_mdcd,na,1,national,MDCR
RX,mdcr_mc_mdcd,na,1,state,MDCR
AM,mdcr_mc_priv,priv,1,national,MSCAN
AM,mdcr_mc_priv,priv,1,state,MSCAN
DV,mdcr_mc_priv,priv,1,national,MSCAN
DV,mdcr_mc_priv,priv,1,state,MSCAN
ED,mdcr_mc_priv,priv,1,national,MSCAN
ED,mdcr_mc_priv,priv,1,state,MSCAN
HH,mdcr_mc_priv,priv,1,national,MSCAN
HH,mdcr_mc_priv,priv,1,state,MSCAN
IP,mdcr_mc_priv,priv,1,national,MSCAN
IP,mdcr_mc_priv,priv,1,state,MSCAN
NF,mdcr_mc_priv,priv,1,national,MSCAN
NF,mdcr_mc_priv,priv,1,state,MSCAN
RX,mdcr_mc_priv,priv,1,national,MSCAN
RX,mdcr_mc_priv,priv,1,state,MSCAN
AM,mdcr_mc_priv,na,1,national,MSCAN
AM,mdcr_mc_priv,na,1,state,MSCAN
DV,mdcr_mc_priv,na,1,national,MSCAN
DV,mdcr_mc_priv,na,1,state,MSCAN
ED,mdcr_mc_priv,na,1,national,MSCAN
ED,mdcr_mc_priv,na,1,state,MSCAN
HH,mdcr_mc_priv,na,1,national,MSCAN
HH,mdcr_mc_priv,na,1,state,MSCAN
IP,mdcr_mc_priv,na,1,national,MSCAN
IP,mdcr_mc_priv,na,1,state,MSCAN
NF,mdcr_mc_priv,na,1,national,MSCAN
NF,mdcr_mc_priv,na,1,state,MSCAN
RX,mdcr_mc_priv,na,1,national,MSCAN
RX,mdcr_mc_priv,na,1,state,MSCAN
AM,mdcr_mc_mdcd,oop,1,county,MDCR
AM,mdcr_mc_mdcd,oop,1,national,MDCR
AM,mdcr_mc_mdcd,oop,1,state,MDCR
DV,mdcr_mc_mdcd,oop,1,county,MDCR
DV,mdcr_mc_mdcd,oop,1,national,MDCR
DV,mdcr_mc_mdcd,oop,1,state,MDCR
ED,mdcr_mc_mdcd,oop,1,county,MDCR
ED,mdcr_mc_mdcd,oop,1,national,MDCR
ED,mdcr_mc_mdcd,oop,1,state,MDCR
HH,mdcr_mc_mdcd,oop,1,county,MDCR
HH,mdcr_mc_mdcd,oop,1,national,MDCR
HH,mdcr_mc_mdcd,oop,1,state,MDCR
IP,mdcr_mc_mdcd,oop,1,county,MDCR
IP,mdcr_mc_mdcd,oop,1,national,MDCR
IP,mdcr_mc_mdcd,oop,1,state,MDCR
NF,mdcr_mc_mdcd,oop,1,county,MDCR
NF,mdcr_mc_mdcd,oop,1,national,MDCR
NF,mdcr_mc_mdcd,oop,1,state,MDCR
RX,mdcr_mc_mdcd,oop,1,county,MDCR
RX,mdcr_mc_mdcd,oop,1,national,MDCR
RX,mdcr_mc_mdcd,oop,1,state,MDCR
AM,mdcr_mc_priv,oop,1,national,MSCAN
AM,mdcr_mc_priv,oop,1,state,MSCAN
DV,mdcr_mc_priv,oop,1,national,MSCAN
DV,mdcr_mc_priv,oop,1,state,MSCAN
ED,mdcr_mc_priv,oop,1,national,MSCAN
ED,mdcr_mc_priv,oop,1,state,MSCAN
HH,mdcr_mc_priv,oop,1,national,MSCAN
HH,mdcr_mc_priv,oop,1,state,MSCAN
IP,mdcr_mc_priv,oop,1,national,MSCAN
IP,mdcr_mc_priv,oop,1,state,MSCAN
NF,mdcr_mc_priv,oop,1,national,MSCAN
NF,mdcr_mc_priv,oop,1,state,MSCAN
RX,mdcr_mc_priv,oop,1,national,MSCAN
RX,mdcr_mc_priv,oop,1,state,MSCAN
IP,mdcr_mdcd,mdcr,1,state,SIDS
IP,mdcr_mdcd,mdcr,1,county,SIDS
IP,mdcr_mdcd,mdcr,1,national,NIS
ED,mdcr_mdcd,mdcr,1,state,SEDD
ED,mdcr_mdcd,mdcr,1,county,SEDD
Ed,mdcr_mdcd,mdcr,1,national,NEDS
