"lang_cd","race_cd","count","lang_count","pct"
"MAP","HISP",27,178,15.17
"MAP","UNK",62,178,34.83
"MAP","WHT",2,178,1.12
"MAR","AIAN",48,455,10.55
"MAR","API",392,455,86.15
"MAR","BLCK",3,455,0.66
"MAR","WHT",12,455,2.64
"MAY","AIAN",2,101,1.98
"MAY","API",78,101,77.23
"MAY","HISP",20,101,19.8
"MAY","WHT",1,101,0.99
"MDR","AIAN",16,202358,0.01
"MDR","API",201396,202358,99.52
"MDR","BLCK",46,202358,0.02
"MDR","HISP",412,202358,0.2
"MDR","WHT",488,202358,0.24
"MEN","AIAN",1,2,50
"MEN","BLCK",1,2,50
"MIC","AIAN",153,153,100
"MKH","AIAN",16,1793,0.89
"MKH","API",1731,1793,96.54
"MKH","BLCK",7,1793,0.39
"MKH","HISP",3,1793,0.17
"MKH","WHT",36,1793,2.01
"MLG","AIAN",1,8,12.5
"MLG","BLCK",5,8,62.5
"MLG","WHT",2,8,25
"MLT","API",39,111,35.14
"MLT","HISP",2,111,1.8
"MLT","WHT",70,111,63.06
"MON","AIAN",4,138,2.9
"MON","API",125,138,90.58
"MON","WHT",9,138,6.52
"MUL","AIAN",6,37,16.22
"MUL","API",3,37,8.11
"MUL","BLCK",1,37,2.7
"MUL","HISP",14,37,37.84
"MUL","UNK",12,37,32.43
"MUL","WHT",1,37,2.7
"MUS","API",2,2,100
"MYN","API",2,59,3.39
"MYN","BLCK",16,59,27.12
"MYN","HISP",14,59,23.73
"MYN","UNK",27,59,45.76
"NAI","AIAN",11857,11857,100
"NAP","API",2,28,7.14
"NAP","BLCK",5,28,17.86
"NAP","WHT",21,28,75
"NAU","AIAN",7,51,13.73
"NAU","API",12,51,23.53
"NAU","BLCK",22,51,43.14
"NAU","WHT",10,51,19.61
"NAV","AIAN",1375,1375,100
"NDE","WHT",1,1,100
"NEP","AIAN",469,28998,1.62
"NEP","API",26540,28998,91.52
"NEP","BLCK",546,28998,1.88
"NEP","HISP",291,28998,1
"NEP","WHT",1152,28998,3.97
"NEW","API",40,40,100
"NNO","UNK",7,7,100
"NOB","WHT",1,1,100
"NOR","AIAN",31,274,11.31
"NOR","API",23,274,8.39
"NOR","BLCK",37,274,13.5
"NOR","HISP",4,274,1.46
"NOR","WHT",179,274,65.33
"OJI","UNK",3,3,100
"ORI","API",2,6,33.33
"ORI","BLCK",4,6,66.67
"ORM","AIAN",53,8042,0.66
"ORM","API",24,8042,0.3
"ORM","BLCK",7841,8042,97.5
"ORM","HISP",93,8042,1.16
"ORM","WHT",31,8042,0.39
"PAG","AIAN",1,2,50
"PAG","API",1,2,50
"PAL","AIAN",3,3,100
"PAM","API",2,4,50
"PAM","WHT",2,4,50
"PAN","AIAN",500,7089,7.05
"PAN","API",6024,7089,84.98
"PAN","BLCK",68,7089,0.96
"PAN","HISP",178,7089,2.51
"PAN","WHT",319,7089,4.5
"PAU","API",6,7,85.71
"PAU","BLCK",1,7,14.29
"PEO","HISP",1,849,0.12
"PEO","WHT",848,849,99.88
"PER","AIAN",287,96969,0.3
"PER","API",8385,96969,8.65
"PER","BLCK",288,96969,0.3
"PER","HISP",579,96969,0.6
"PER","WHT",87430,96969,90.16
"PHI","AIAN",5,24,20.83
"PHI","API",15,24,62.5
"PHI","UNK",1,24,4.17
"PHI","WHT",3,24,12.5
"PLI","API",3,5,60
"PLI","UNK",2,5,40
"POL","AIAN",656,23868,2.75
"POL","API",203,23868,0.85
"POL","BLCK",175,23868,0.73
